type,name,gu,dong,lat,lng,address
지역근린공원,두둑재공원,서초구,양재동,37.46800422,127.0440175,서울특별시 서초구 양재동 
지역근린공원,색동어린이공원,관악구,신림동,37.48645349,126.9328167,서울특별시 관악구 신림동 신림로70길
지역근린공원,대청공원,강남구,일원동,37.49255717,127.0825218,서울특별시 강남구 일원동 개포로116길
지역근린공원,노해어린이공원,도봉구,쌍문동,37.66089183,127.039655,서울특별시 도봉구 쌍문동 
지역근린공원,목련공원,강서구,방화동,37.56502682,126.807743,서울특별시 강서구 방화동 
지역근린공원,청담가족공원,강남구,삼성동,37.52082827,127.0625885,서울특별시 강남구 삼성동 
지역근린공원,허준근린공원,강서구,가양동,37.56792548,126.8528254,서울특별시 강서구 가양동 허준로5길
지역근린공원,엄지공원,강서구,가양동,37.56580642,126.8546355,서울특별시 강서구 가양동 
지역근린공원,등나무공원,중랑구,망우동,37.59762022,127.0965238,서울특별시 중랑구 망우동 용마산로115나길
지역근린공원,근린제3공원,강서구,가양동,37.56105498,126.8655741,서울특별시 강서구 가양동 허준로
지역근린공원,안골어린이공원,송파구,오금동,37.50285062,127.135314,서울특별시 송파구 오금동 
지역근린공원,희망어린이공원,강동구,길동,37.53904079,127.1422651,서울특별시 강동구 길동 
지역근린공원,어린이공원,마포구,상암동,37.57542659,126.8981731,서울특별시 마포구 상암동 
지역근린공원,은평평화공원,은평구,녹번동,37.6052269,126.923326,서울특별시 은평구 녹번동 서오릉로
지역근린공원,쌈지공원,구로구,구로동,37.50630576,126.8908227,서울특별시 구로구 구로동 새말로
지역근린공원,경의선숲길,마포구,연남동,37.5614975,126.923237,서울특별시 마포구 연남동 
지역근린공원,양천리누리터공원,은평구,녹번동,37.60635636,126.9342931,서울특별시 은평구 녹번동 
지역근린공원,새장골어린이공원,은평구,불광동,37.6251324,126.9261927,서울특별시 은평구 불광동 연서로37가길
지역근린공원,도장골공원,성동구,행당동,37.55494143,127.0267961,서울특별시 성동구 행당동 행당로
지역근린공원,까치공원,동작구,사당동,37.48061846,126.9794798,서울특별시 동작구 사당동 
지역근린공원,이수공원,강서구,염창동,37.54824702,126.8743344,서울특별시 강서구 염창동 공항대로75길
지역근린공원,박장공원,강서구,화곡동,37.54072647,126.8491055,서울특별시 강서구 화곡동 
지역근린공원,예촌어린이공원,관악구,남현동,37.47465019,126.9767259,서울특별시 관악구 남현동 남현길
지역근린공원,오금근린공원,송파구,오금동,37.50190458,127.130248,서울특별시 송파구 오금동 오금로
지역근린공원,능안공원,강서구,등촌동,37.54647904,126.860073,서울특별시 강서구 등촌동 등촌로39마길
